Threads, result, time
1,1.351550,6.276162
2,0.976420,6.277439
3,0.875069,6.226463
4,0.828213,6.350454
5,0.800988,6.235387
6,0.783112,6.264831
7,0.770445,6.679043
8,0.760991,6.700990
9,0.753661,6.462353
10,0.747808,6.407893
11,0.743025,6.712920
12,0.739043,6.325680
13,0.735677,6.407355
14,0.732792,6.679233
15,0.730294,7.320379
16,0.728107,7.593551
17,0.726178,6.906970
18,0.724464,7.112358
19,0.722931,6.826631
20,0.721552,7.119791
21,0.720303,6.855172
22,0.719168,6.426085
23,0.718132,6.417060
24,0.717182,6.410795
25,0.716309,6.406027
26,0.715502,6.418484
27,0.714755,6.423044
28,0.714062,6.407677
29,0.713416,6.455803
30,0.712814,6.590286
31,0.712250,6.413594
32,0.711721,6.424773
33,0.711225,6.389492
34,0.710758,6.401783
35,0.710317,6.431901
36,0.709901,6.440121
37,0.709507,6.419451
38,0.709135,6.466286
39,0.708781,6.458437
40,0.708444,6.562606
41,0.708125,6.533975
42,0.707820,6.451976
43,0.707530,6.559747
44,0.707253,6.416122
45,0.706988,6.423866
46,0.706735,6.402895
47,0.706492,6.404842
48,0.706260,6.476763
49,0.706037,6.662133